"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
21,"A12","Quercus robur","Quercus robur, Frangula alnus","Deciduous"
21,"B10",NA,"","NA"
21,"B11","Quercus robur","Quercus robur, Sorbus aucuparia","Deciduous"
21,"C06","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
21,"C07","Quercus robur","Quercus petraea, Quercus robur","Deciduous"
21,"C08",NA,"","NA"
21,"C09",NA,"","NA"
21,"C10",NA,"","NA"
21,"D05","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"D07",NA,"","NA"
21,"D11","Quercus robur","Quercus robur, Sorbus aucuparia","Deciduous"
21,"E06","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"E09","Quercus robur","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
21,"E10","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"E12",NA,"","NA"
21,"F04","Pinus sylvestris","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
21,"F05","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"F06","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"F07",NA,"","NA"
21,"F09",NA,"","NA"
21,"F11","Quercus robur","Quercus robur, Prunus serotina","Deciduous"
21,"F12","Quercus robur","Quercus robur, Picea abies, Pinus sylvestris","Mixed"
21,"G02",NA,"","NA"
21,"G06",NA,"","NA"
21,"G07",NA,"","NA"
21,"G08",NA,"","NA"
21,"G10","Quercus robur","Quercus petraea, Quercus robur","Deciduous"
21,"H02","Quercus robur","Quercus robur, Sorbus aucuparia, Prunus serotina","Deciduous"
21,"H03","Quercus robur","Quercus robur, Prunus serotina","Deciduous"
21,"H05","Quercus robur","Quercus robur, Prunus serotina","Deciduous"
21,"H06",NA,"","NA"
21,"J04","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"J06",NA,"","NA"
21,"J07","Quercus robur","Quercus robur, Sorbus aucuparia, Prunus serotina","Deciduous"
21,"K03","Quercus robur","Quercus robur, Sorbus aucuparia","Deciduous"
21,"K04","Quercus robur","Quercus robur, Betula pendula","Deciduous"
21,"K05","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
21,"K06","Quercus robur","Quercus robur, Sorbus aucuparia","Deciduous"
21,"L04","Quercus robur","Quercus robur, Betula pendula, Prunus serotina","Deciduous"
21,"L05","Quercus robur","Quercus robur, Betula pendula","Deciduous"
21,"L06",NA,"","NA"
21,"L07",NA,"","NA"
21,"L08",NA,"","NA"
21,"M04","Quercus robur","Quercus robur, Betula pendula","Deciduous"
21,"M05","Quercus robur","Quercus robur, Betula pendula","Deciduous"
21,"M06",NA,"","NA"
21,"M07",NA,"","NA"
21,"N05","Quercus robur","Quercus robur, Betula pendula, Prunus serotina","Deciduous"
21,"N06","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
21,"N07",NA,"","NA"
