"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
6,"B04","Quercus robur","Quercus robur, Sorbus aucuparia, Frangula alnus","Deciduous"
6,"B05","No dominant species","Quercus robur, Betula pendula, Frangula alnus","Deciduous"
6,"B06","Quercus robur","Quercus robur, Betula pendula, Frangula alnus","Deciduous"
6,"B07","No dominant species","Quercus robur, Alnus glutinosa, Crataegus","Deciduous"
6,"C05","Quercus robur","Quercus robur, Frangula alnus","Deciduous"
6,"C06","Salix alba","Alnus glutinosa, Populus tremula, Salix alba","Deciduous"
6,"C07","Alnus glutinosa","Alnus glutinosa, Sorbus aucuparia, Crataegus","Deciduous"
6,"C08","Quercus robur","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"D03","Alnus glutinosa","Alnus glutinosa, Salix alba","Deciduous"
6,"D04","Alnus glutinosa","Alnus glutinosa, Salix alba","Deciduous"
6,"D05","No dominant species","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"D06","Alnus glutinosa","Alnus glutinosa, Sorbus aucuparia, Crataegus","Deciduous"
6,"D07","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"D08","Quercus robur","Quercus robur, Crataegus, Pinus sylvestris","Mixed"
6,"E02","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"E03","Alnus glutinosa","Quercus robur, Alnus glutinosa, Salix alba","Deciduous"
6,"E04","Alnus glutinosa","Alnus glutinosa, Sorbus aucuparia, Salix alba","Deciduous"
6,"E05","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"E06","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pendula","Deciduous"
6,"E07","No dominant species","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"F02","No dominant species","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"F03","Alnus glutinosa","Alnus glutinosa, Salix alba, Pinus sylvestris","Mixed"
6,"F04","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
6,"F05","Alnus glutinosa","Alnus glutinosa, Sorbus aucuparia, Pinus sylvestris","Mixed"
6,"F06","No dominant species","Fraxinus excelsior, Alnus glutinosa, Betula pendula","Deciduous"
6,"F07","Alnus glutinosa","Alnus glutinosa, Betula pendula, Sambucus nigra","Deciduous"
6,"F08","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
6,"G03","Alnus glutinosa","Quercus robur, Alnus glutinosa, Pinus sylvestris","Mixed"
6,"G04","No dominant species","Alnus glutinosa, Crataegus, Pinus sylvestris","Mixed"
6,"G05","Alnus glutinosa","Alnus glutinosa, Sorbus aucuparia, Pinus sylvestris","Mixed"
6,"G06","No dominant species","Quercus robur, Fraxinus excelsior, Alnus glutinosa","Deciduous"
6,"G07","Alnus glutinosa","Alnus glutinosa, Betula pendula, Pinus sylvestris","Mixed"
6,"J04","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
