"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
33,"E05","Acer pseudoplatanus","Acer pseudoplatanus, Alnus glutinosa, Populus","Deciduous"
33,"O09","Fraxinus excelsior","Acer pseudoplatanus, Fraxinus excelsior","Deciduous"
33,"B06","Populus","Alnus glutinosa, Populus","Deciduous"
33,"B10","No dominant species","Acer pseudoplatanus, Populus, Salix","Deciduous"
33,"C05","Populus","Prunus padus, Populus","Deciduous"
33,"C09","Populus","Acer pseudoplatanus, Fraxinus excelsior, Populus","Deciduous"
33,"C11",NA,"","NA"
33,"D02",NA,"","NA"
33,"D04",NA,"","NA"
33,"D08","Fraxinus excelsior","Acer pseudoplatanus, Fraxinus excelsior, Prunus padus","Deciduous"
33,"D10",NA,"","NA"
33,"D12",NA,"","NA"
33,"E03",NA,"","NA"
33,"E07","Fraxinus excelsior","Acer pseudoplatanus, Acer campestre, Fraxinus excelsior","Deciduous"
33,"E09","Populus","Alnus glutinosa, Populus","Deciduous"
33,"E11",NA,"","NA"
33,"F02",NA,"","NA"
33,"F04","Acer pseudoplatanus","Acer pseudoplatanus, Alnus glutinosa, Populus","Deciduous"
33,"F08",NA,"","NA"
33,"F10","Populus","Alnus glutinosa, Populus","Deciduous"
33,"G03","Quercus robur","Quercus robur, Corylus avellana, Populus","Deciduous"
33,"G07","Quercus robur","Quercus robur, Prunus padus, Corylus avellana","Deciduous"
33,"G13",NA,"","NA"
33,"H01",NA,"","NA"
33,"H02",NA,"","NA"
33,"H04","Quercus robur","Quercus robur, Acer platanoides, Corylus avellana","Deciduous"
33,"H06","Populus","Acer campestre, Corylus avellana, Populus","Deciduous"
33,"H08","Quercus robur","Quercus robur, Prunus padus, Corylus avellana","Deciduous"
33,"H12",NA,"","NA"
33,"H14",NA,"","NA"
33,"I03","Quercus robur","Quercus robur, Prunus padus, Sambucus nigra","Deciduous"
33,"I07","No dominant species","Acer campestre, Corylus avellana, Populus","Deciduous"
33,"I10",NA,"","NA"
33,"I13",NA,"","NA"
33,"I15",NA,"","NA"
33,"J04","Quercus robur","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
33,"J06","No dominant species","Acer campestre, Prunus padus, Populus","Deciduous"
33,"J10",NA,"","NA"
33,"J14","Populus","Fagus sylvatica, Prunus padus, Populus","Deciduous"
33,"J16","Populus","Acer pseudoplatanus, Populus","Deciduous"
33,"K09","Picea abies","Alnus glutinosa, Alnus incana, Picea abies","Mixed"
33,"K11",NA,"","NA"
33,"K12",NA,"","NA"
33,"K13","Populus","Sorbus aucuparia, Sambucus nigra, Populus","Deciduous"
33,"K15",NA,"","NA"
33,"L10","Fagus sylvatica","Fagus sylvatica, Alnus glutinosa, unknown or not determined","Mixed"
33,"L12","Populus","Sambucus nigra, Populus","Deciduous"
33,"N08","Fraxinus excelsior","Acer pseudoplatanus, Fraxinus excelsior","Deciduous"
33,"N10","Quercus robur","Carpinus betulus, Quercus robur, Corylus avellana","Deciduous"
33,"N12","Fraxinus excelsior","Acer platanoides, Fraxinus excelsior, Prunus padus","Deciduous"
33,"O11","No dominant species","Quercus robur, Prunus padus, Corylus avellana","Deciduous"
33,"G05","Acer pseudoplatanus","Acer pseudoplatanus, Acer campestre","Deciduous"
33,"G09","No dominant species","Quercus robur, Acer campestre, Populus","Deciduous"
