"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
29,"B14","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
29,"C12","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"C14","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"C18","Betula pendula","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
29,"D11","Betula pendula","Betula pendula, Sorbus aucuparia, Pinus sylvestris","Mixed"
29,"D16","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"D19","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"E10","Betula pendula","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
29,"E18","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"F01","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"F04","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
29,"F07","Betula pendula","Betula pendula, Sorbus aucuparia, Frangula alnus","Deciduous"
