"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
15,"B09","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
15,"B10","Pinus sylvestris","Betula pendula, Sorbus aucuparia, Pinus sylvestris","Mixed"
15,"C03","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"C11","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
15,"D01","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"D02","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"D04","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"D06","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"D10","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
15,"E01","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
15,"E03","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
15,"E06",NA,"","NA"
15,"E08","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"E11",NA,"","NA"
15,"F02","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"F04","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
15,"F06","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
15,"F07","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
15,"F11","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
15,"F12",NA,"","NA"
15,"G01","Pinus sylvestris","Quercus robur, Pinus sylvestris, Quercus rubra","Mixed"
15,"G03","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
15,"G05","Pinus nigra","Quercus robur, Pinus sylvestris, Pinus nigra","Mixed"
15,"G07","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
15,"G09","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
15,"G13","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"H04","Quercus robur","Quercus robur, Betula pendula, Frangula alnus","Deciduous"
15,"H06","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
15,"H08","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"H10","No dominant species","Pinus sylvestris, Pinus nigra, Quercus rubra","Mixed"
15,"H12","Pinus nigra","Quercus robur, Pinus sylvestris, Pinus nigra","Mixed"
15,"H14",NA,"","NA"
15,"H15",NA,"","NA"
15,"I05","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"I06","No dominant species","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"I07","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
15,"I09","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
15,"I11","Pinus nigra","Betula pendula, Pinus nigra, Prunus serotina","Mixed"
15,"I13",NA,"","NA"
15,"I15","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
15,"J08","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
15,"J11",NA,"","NA"
15,"J12","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
15,"J14",NA,"","NA"
15,"K08","Pinus nigra","Quercus robur, Pinus sylvestris, Pinus nigra","Mixed"
15,"K10",NA,"","NA"
15,"K13","Pinus nigra","Quercus robur, Betula pendula, Pinus nigra","Mixed"
15,"L10",NA,"","NA"
15,"L11",NA,"","NA"
15,"M11","Pinus sylvestris","Betula pubescens, Pinus sylvestris","Mixed"
15,"M12",NA,"","NA"
