"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
49,"B02","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
49,"B03","Quercus robur","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"C02","Quercus robur","Quercus robur, Betula pubescens, Rhamnus cathartica","Deciduous"
49,"C09","Fagus sylvatica","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
49,"D03","Quercus robur","Quercus robur, Betula pubescens, Rhamnus cathartica","Deciduous"
49,"D06","No dominant species","Fagus sylvatica, Quercus robur, Betula pubescens","Deciduous"
49,"E07","Fagus sylvatica","Fagus sylvatica, Pinus sylvestris, unknown or not determined","Mixed"
49,"E09","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
49,"F07","No dominant species","Fagus sylvatica, Quercus robur, Castanea sativa","Deciduous"
49,"G03","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
49,"G08","Fagus sylvatica","Fagus sylvatica, Castanea sativa, unknown or not determined","Mixed"
49,"H05","No dominant species","Sorbus aucuparia, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"H08","Fagus sylvatica","Fagus sylvatica, Quercus robur, unknown or not determined","Mixed"
49,"H09","Fagus sylvatica","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
49,"H10","Fagus sylvatica","Fagus sylvatica, Quercus robur, unknown or not determined","Mixed"
49,"K06","No dominant species","Quercus robur, Betula pendula, Rhamnus cathartica","Deciduous"
49,"K09","No dominant species","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"L09","Rhamnus cathartica","Betula pubescens, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"L11","No dominant species","Betula pubescens, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"L12","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
49,"M07","No dominant species","Quercus robur, Betula pendula, Rhamnus cathartica","Deciduous"
49,"N05","No dominant species","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
49,"N07","Betula pendula","Quercus robur, Betula pendula","Deciduous"
49,"N09",NA,"","NA"
49,"P11","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
49,"P12","Pinus sylvestris","Pinus sylvestris, Betula, unknown or not determined","Mixed"
49,"Q05","No dominant species","Betula pubescens, Pinus sylvestris, Rhamnus cathartica","Mixed"
49,"Q07","Betula pendula","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
49,"Q10","Betula pendula","Quercus robur, Betula pendula, Rhamnus cathartica","Deciduous"
49,"S06","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
49,"S08","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
49,"S13",NA,"","NA"
49,"T11","Pinus sylvestris","Betula pendula, Pinus sylvestris, unknown or not determined","Mixed"
49,"U09","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
49,"U13","Quercus robur","Quercus robur, Betula pendula","Deciduous"
49,"V11",NA,"","NA"
49,"V15","Quercus robur","Quercus robur, Betula pendula","Deciduous"
49,"W09","No dominant species","Betula pubescens, Pseudotsuga menziesii, Larix","Mixed"
49,"W13","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
