"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
22,"C02","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"F09","Pinus sylvestris","Quercus petraea, Betula pendula, Pinus sylvestris","Mixed"
22,"F14","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"C04","Pinus sylvestris","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
22,"C06","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"G14","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"H04","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
22,"L04","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
22,"L06","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"D03","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"H11","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"D09","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"E02","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"G12","No dominant species","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"B10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"F03","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"F08","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"L02","Betula pendula","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"L08","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"L13","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"M11","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
22,"N08","No dominant species","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
22,"N12","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"J07","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"F05","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"J08","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"B03","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
22,"B05","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
22,"B07","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"B09","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
22,"B11","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
22,"C10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
