"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
48,"J08","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"M07","Fraxinus excelsior","Fraxinus excelsior, Prunus padus, Alnus glutinosa","Deciduous"
48,"K07","No dominant species","Fraxinus excelsior, Alnus glutinosa, Sorbus aucuparia","Deciduous"
48,"G04","Betula pubescens","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"F04","Alnus glutinosa","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"F03","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
48,"H04","No dominant species","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"D05","No dominant species","Fraxinus excelsior, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"E05","Alnus glutinosa","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"H07","Fraxinus excelsior","Fraxinus excelsior, Alnus glutinosa, Salix","Deciduous"
48,"H12","Fraxinus excelsior","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"F09","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"B06","Betula pubescens","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"G13","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Sorbus aucuparia","Deciduous"
48,"F13","No dominant species","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"D20","No dominant species","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"E16","No dominant species","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"E27","Betula pubescens","Quercus robur, Betula pubescens, Picea","Mixed"
48,"H14","Fraxinus excelsior","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"G18","No dominant species","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"F28","No dominant species","Quercus robur, Acer pseudoplatanus, Betula pubescens","Deciduous"
48,"E26","No dominant species","Quercus robur, Betula pubescens, Picea","Mixed"
48,"E19","Betula pubescens","Acer pseudoplatanus, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"H24","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"L15","No dominant species","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
48,"F24","No dominant species","Alnus glutinosa, Betula pubescens, Prunus serotina","Deciduous"
48,"C18","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
48,"C24","Alnus glutinosa","Acer pseudoplatanus, Fraxinus excelsior, Alnus glutinosa","Deciduous"
48,"J16","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"G22","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"E17","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"F27","No dominant species","Quercus robur, Acer pseudoplatanus, Betula pubescens","Deciduous"
48,"H21","No dominant species","Fraxinus excelsior, Sambucus nigra, Salix","Deciduous"
48,"J19","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Betula pubescens","Deciduous"
48,"G25",NA,"","NA"
