"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
35,"B02","No dominant species","Alnus glutinosa, Betula, Salix cinerea","Deciduous"
35,"E03","Acer pseudoplatanus","Acer pseudoplatanus, Fraxinus excelsior, Populus","Deciduous"
35,"B09",NA,"","NA"
35,"D03","No dominant species","Quercus robur, Acer pseudoplatanus, Populus","Deciduous"
35,"E05","No dominant species","Quercus robur, Alnus glutinosa, Betula","Deciduous"
35,"F10","Salix cinerea","Quercus robur, Alnus glutinosa, Salix cinerea","Deciduous"
35,"F09","Quercus robur","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"E09","No dominant species","Corylus avellana, Alnus, Salix cinerea","Deciduous"
35,"C09","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"G08","Corylus avellana","Alnus glutinosa, Corylus avellana, Populus","Deciduous"
35,"G05","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"C05","No dominant species","Quercus robur, Alnus glutinosa, Betula","Deciduous"
35,"D07","Corylus avellana","Prunus padus, Alnus glutinosa, Corylus avellana","Deciduous"
35,"F08","No dominant species","Quercus robur, Prunus padus, Corylus avellana","Deciduous"
35,"C10","Quercus robur","Quercus robur, Sorbus aucuparia, Rhamnus cathartica","Deciduous"
35,"E10","No dominant species","Fraxinus excelsior, Alnus glutinosa, Populus","Deciduous"
35,"C03","No dominant species","Alnus glutinosa, Sorbus aucuparia, Corylus avellana","Deciduous"
35,"D04","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"E04","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"H05","No dominant species","Alnus glutinosa, Corylus avellana, Populus","Deciduous"
35,"G03","No dominant species","Quercus robur, Alnus glutinosa, Populus","Deciduous"
35,"E07","Quercus rubra","Quercus rubra, unknown or not determined","Mixed"
35,"D08","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
35,"G09","Corylus avellana","Prunus padus, Alnus glutinosa, Corylus avellana","Deciduous"
