"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
34,"D03","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"B02","No dominant species","Quercus robur, Populus nigra, Crataegus monogyna","Deciduous"
34,"G07","Crataegus monogyna","Quercus robur, Pinus sylvestris, Crataegus monogyna","Mixed"
34,"H07","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"F02","Crataegus monogyna","Quercus robur, Populus nigra, Crataegus monogyna","Deciduous"
34,"F10","Crataegus monogyna","Betula pubescens, Populus tremula, Crataegus monogyna","Deciduous"
34,"F08","Populus tremula","Populus tremula, Rhamnus cathartica, Crataegus monogyna","Deciduous"
34,"H05","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"C04","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"C06","Populus tremula","Quercus robur, Populus tremula, Crataegus monogyna","Deciduous"
34,"C12","Populus nigra","Quercus robur, Populus nigra, Sambucus nigra","Deciduous"
34,"E10","Crataegus monogyna","Betula pubescens, Populus tremula, Crataegus monogyna","Deciduous"
34,"E08","Crataegus monogyna","Populus tremula, Rhamnus cathartica, Crataegus monogyna","Deciduous"
34,"G04","Crataegus monogyna","Quercus robur, Crataegus monogyna","Deciduous"
34,"L06","Crataegus monogyna","Quercus robur, Crataegus monogyna","Deciduous"
34,"J06","Crataegus monogyna","Betula pubescens, Rhamnus cathartica, Crataegus monogyna","Deciduous"
34,"E02","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"G10","No dominant species","Populus tremula, Rhamnus cathartica, Crataegus monogyna","Deciduous"
34,"E04","Crataegus monogyna","Quercus robur, Populus tremula, Crataegus monogyna","Deciduous"
34,"E06","No dominant species","Populus tremula, Euonymus europaeus, Crataegus monogyna","Deciduous"
34,"C08","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"A08",NA,"","NA"
34,"C10",NA,"","NA"
34,"A06","Crataegus monogyna","Quercus robur, Populus nigra, Crataegus monogyna","Deciduous"
34,"J10","Crataegus monogyna","Quercus robur, Crataegus monogyna","Deciduous"
34,"L10","Crataegus monogyna","Quercus robur, Crataegus monogyna","Deciduous"
34,"D01","Crataegus monogyna","Quercus robur, Betula pubescens, Crataegus monogyna","Deciduous"
34,"B05","Crataegus monogyna","Betula pendula, Betula, Crataegus monogyna","Deciduous"
34,"E12",NA,"","NA"
