"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
13,"B05",NA,"","NA"
13,"C03",NA,"","NA"
13,"D05",NA,"","NA"
13,"D07","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
13,"D11",NA,"","NA"
13,"E09","No dominant species","Sorbus aucuparia, Pinus nigra, Prunus serotina","Mixed"
13,"F01","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
13,"F05","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
13,"F07","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
13,"F11",NA,"","NA"
13,"G04","Pinus nigra","Betula pendula, Pinus nigra, Prunus serotina","Mixed"
13,"H05","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
13,"H07",NA,"","NA"
13,"H09","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
13,"H11",NA,"","NA"
13,"J01","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
13,"J03","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
13,"K05","Pinus nigra","Betula pendula, Pinus nigra","Mixed"
13,"K07",NA,"","NA"
13,"L03","No dominant species","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
13,"M05","No dominant species","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
13,"M07","No dominant species","Fagus sylvatica, Pinus nigra, Quercus rubra","Mixed"
13,"N04","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
13,"O05","Betula pendula","Quercus robur, Betula pendula, Prunus serotina","Deciduous"
13,"O07","Pinus nigra","Pinus nigra, Castanea sativa, unknown or not determined","Mixed"
