"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
23,"A02",NA,"","NA"
23,"A03","Pinus sylvestris","Pinus sylvestris, Betula","Mixed"
23,"B02",NA,"","NA"
23,"B04",NA,"","NA"
23,"B06",NA,"","NA"
23,"B08",NA,"","NA"
23,"C02",NA,"","NA"
23,"C04",NA,"","NA"
23,"C06",NA,"","NA"
23,"C08",NA,"","NA"
23,"C10","Pinus sylvestris","Pinus sylvestris, Pinus nigra","Coniferous"
23,"D04",NA,"","NA"
23,"D06",NA,"","NA"
23,"D08",NA,"","NA"
23,"D10",NA,"","NA"
23,"E02",NA,"","NA"
23,"E06",NA,"","NA"
23,"E08",NA,"","NA"
23,"E10",NA,"","NA"
23,"E12",NA,"","NA"
23,"F02",NA,"","NA"
23,"F03",NA,"","NA"
23,"F06",NA,"","NA"
23,"F08",NA,"","NA"
23,"F12",NA,"","NA"
23,"G05",NA,"","NA"
23,"G08",NA,"","NA"
23,"H02",NA,"","NA"
23,"H03",NA,"","NA"
23,"H05",NA,"","NA"
23,"H06",NA,"","NA"
23,"H07",NA,"","NA"
23,"H10",NA,"","NA"
23,"H11","Pinus sylvestris","Pinus sylvestris, Sequoiadendron giganteum","Coniferous"
23,"J03",NA,"","NA"
23,"J04",NA,"","NA"
23,"J05",NA,"","NA"
23,"J07",NA,"","NA"
23,"J08",NA,"","NA"
23,"J10",NA,"","NA"
23,"K05",NA,"","NA"
23,"K06",NA,"","NA"
23,"K10",NA,"","NA"
23,"K11",NA,"","NA"
23,"L07",NA,"","NA"
23,"L08",NA,"","NA"
23,"M08",NA,"","NA"
23,"M10",NA,"","NA"
23,"M11","Pinus nigra","Pinus sylvestris, Pinus nigra","Coniferous"
23,"N12",NA,"","NA"
