"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
25,"C11",NA,"","NA"
25,"F03","Pinus sylvestris","Picea abies, Pinus sylvestris","Coniferous"
25,"F05",NA,"","NA"
25,"J04",NA,"","NA"
25,"K03",NA,"","NA"
25,"K05",NA,"","NA"
25,"L02",NA,"","NA"
25,"L04","Pinus sylvestris","Quercus robur, Pinus sylvestris, Salix","Mixed"
25,"L05",NA,"","NA"
25,"L06",NA,"","NA"
25,"L08",NA,"","NA"
25,"M03",NA,"","NA"
25,"M05","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
25,"M07","Pinus sylvestris","Pinus sylvestris, Pinus","Coniferous"
25,"M08",NA,"","NA"
25,"N02","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
25,"N03",NA,"","NA"
25,"N04",NA,"","NA"
25,"N06",NA,"","NA"
25,"N07",NA,"","NA"
25,"O04","Pinus sylvestris","Quercus robur, Pinus sylvestris, Rhamnus cathartica","Mixed"
25,"O07","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
25,"P02",NA,"","NA"
