"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
50,"B09","No dominant species","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
50,"C09","No dominant species","Quercus robur, Sorbus aucuparia, unknown or not determined","Mixed"
50,"D09","No dominant species","Quercus robur, Betula pubescens, Frangula alnus","Deciduous"
50,"E09","No dominant species","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
50,"E11","No dominant species","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
50,"F11","No dominant species","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
50,"F13","Salix aurita x cinerea","Alnus glutinosa, Betula pubescens, Salix aurita x cinerea","Deciduous"
50,"G13","No dominant species","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
50,"G15","No dominant species","Quercus robur, Alnus glutinosa, Salix aurita x cinerea","Deciduous"
50,"H13","Quercus robur","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"H15","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
50,"I13","Quercus robur","Quercus robur, Fraxinus excelsior, Betula pubescens","Deciduous"
50,"I15","No dominant species","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
50,"J13","No dominant species","Quercus robur, Populus tremula, Salix aurita x cinerea","Deciduous"
50,"J15","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
50,"J19","Quercus robur","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"K15","Pinus sylvestris","Betula pubescens, Pinus sylvestris","Mixed"
50,"K19","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
50,"K24","No dominant species","Betula pubescens, Pinus sylvestris, Rhamnus cathartica","Mixed"
50,"L15","No dominant species","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
50,"L19","Quercus robur","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
50,"N27","Betula pubescens","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
50,"O27","Betula pubescens","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"P24","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
50,"Q31","Betula pubescens","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"Q33","No dominant species","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"Q36","Pinus sylvestris","Quercus robur, Betula pubescens, Pinus sylvestris","Mixed"
50,"R31","No dominant species","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"R33","Betula pubescens","Quercus robur, Betula pubescens, unknown or not determined","Mixed"
50,"R36","Pinus sylvestris","Quercus robur, Pinus sylvestris, Amelanchier lamarckii","Mixed"
50,"S33","Quercus robur","Quercus robur, Betula pubescens, Rhamnus cathartica","Deciduous"
50,"S36","Quercus robur","Quercus robur, Betula pubescens, Amelanchier lamarckii","Deciduous"
50,"T33","Quercus robur","Quercus robur, Betula pubescens, Rhamnus cathartica","Deciduous"
