"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
16,"A12","Quercus robur","Quercus robur, Alnus glutinosa, Betula pendula","Deciduous"
16,"B12","No dominant species","Prunus padus, Alnus glutinosa, Betula pubescens","Deciduous"
16,"B13",NA,"","NA"
16,"B14","Alnus glutinosa","Alnus glutinosa, Populus nigra, Salix alba","Deciduous"
16,"B15","Alnus glutinosa","Alnus glutinosa, Salix cinerea","Deciduous"
16,"C04","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
16,"C05","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C06","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C07","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C08","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
16,"C09","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"C10","Alnus glutinosa","Prunus padus, Alnus glutinosa, Betula pendula","Deciduous"
16,"C12","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"C13","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C14","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C15","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"C16","Quercus robur","Quercus robur, Salix cinerea, Populus canescens","Deciduous"
16,"D05","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D06","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D07","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D08","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D09","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D10","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D11","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"D12","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D13","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D14","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"D15","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"D16","No dominant species","Quercus robur, Prunus padus, Alnus glutinosa","Deciduous"
16,"E05","Alnus glutinosa","Prunus padus, Alnus glutinosa, Betula pubescens","Deciduous"
16,"E06","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"E07","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"E08","Alnus glutinosa","Prunus padus, Alnus glutinosa, Betula pubescens","Deciduous"
16,"E09","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"E12","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
16,"E14","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"E15","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"E16","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"F03","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"F04","Betula pubescens","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"F05","Alnus glutinosa","Alnus glutinosa, Betula pubescens","Deciduous"
16,"F06","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"F07","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"F08","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"F14","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"G02","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"G03","No dominant species","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"G04","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"G05","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"G06","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
16,"H03","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
16,"H04","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
