"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
47,"D18","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
47,"C06",NA,"","NA"
47,"Q09",NA,"","NA"
47,"E18",NA,"","NA"
47,"S17","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"K20",NA,"","NA"
47,"G21",NA,"","NA"
47,"J21","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
47,"U16","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"X12","Quercus robur","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
47,"R11","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
47,"O13","Pinus sylvestris","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"M12","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"N16","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
47,"E07","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"E04",NA,"","NA"
47,"G07",NA,"","NA"
47,"F03",NA,"","NA"
47,"J16","Pinus sylvestris","Fagus sylvatica, Pinus sylvestris","Mixed"
47,"H18","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"G17",NA,"","NA"
47,"J03","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
47,"L17",NA,"","NA"
47,"M11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"Q17","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"N06",NA,"","NA"
47,"J13","Pinus sylvestris","Betula pendula, Betula pubescens, Pinus sylvestris","Mixed"
47,"K11","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
47,"H16","Pinus sylvestris","Frangula alnus, Pinus sylvestris","Mixed"
47,"W07","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
47,"X05","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"Y14","Quercus robur","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"W16","Quercus robur","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"K17","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"L06",NA,"","NA"
47,"Q14","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"R14","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"P11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
47,"R17","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"S13","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
47,"T10","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
47,"T08","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
