"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
59,"A05 ","Alnus glutinosa","Quercus robur, Alnus glutinosa, Frangula alnus","Deciduous"
59,"A06 ","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
59,"B02 ","Alnus glutinosa","Quercus robur, Fraxinus excelsior, Alnus glutinosa","Deciduous"
59,"C03 ","No dominant species","Quercus robur, Prunus avium, Sorbus aucuparia","Deciduous"
59,"C04 ","No dominant species","Fraxinus excelsior, Prunus avium, Alnus glutinosa","Deciduous"
59,"C06 ","Alnus glutinosa","Quercus robur, Alnus glutinosa, Salix alba","Deciduous"
59,"D03 ","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
59,"D04 ","No dominant species","Quercus robur, Fraxinus excelsior, Alnus glutinosa","Deciduous"
59,"F03 ","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
59,"F04 ","No dominant species","Quercus robur, Alnus glutinosa, Salix alba","Deciduous"
