"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
2,"I23","No dominant species","Quercus robur, Pinus sylvestris, Amelanchier lamarckii","Mixed"
2,"J03","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
2,"K05","No dominant species","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
2,"A08","Quercus robur","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
2,"A09","Pinus sylvestris","Frangula alnus, Ilex aquifolium, Pinus sylvestris","Mixed"
2,"A14","Pinus sylvestris","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
2,"B15",NA,"","NA"
2,"B17","Pinus sylvestris","Pinus sylvestris, Juniperus communis","Coniferous"
2,"C14",NA,"","NA"
2,"C18","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
2,"D03","Pinus sylvestris","Betula pendula, Pinus sylvestris, Quercus rubra","Mixed"
2,"D21","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"G22","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"H15","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"H23","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"I16","No dominant species","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
2,"D24","Picea abies","Quercus robur, Picea abies, Pinus sylvestris","Mixed"
2,"E14","Pinus sylvestris","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
2,"E18","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"E22","Pinus sylvestris","Quercus robur, Picea abies, Pinus sylvestris","Mixed"
2,"E24","Picea abies","Quercus robur, Picea abies, Pinus sylvestris","Mixed"
2,"F02","Pinus sylvestris","Viburnum lantana, Pinus sylvestris","Mixed"
2,"F05","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
2,"F07","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"F12","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"F17","Pinus sylvestris","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
2,"G02","Pinus sylvestris","Frangula alnus, Pinus sylvestris, Pinus nigra","Mixed"
2,"G04","Quercus robur","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
2,"G08","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"A10",NA,"","NA"
2,"A12","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
2,"A16",NA,"","NA"
2,"B18","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
2,"C16","Pinus sylvestris","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
2,"D01","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"D05","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
2,"D14","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
2,"D15",NA,"","NA"
2,"D17","Pinus sylvestris","Quercus robur, Pinus sylvestris, Pinus nigra","Mixed"
2,"D19","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"D23","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
2,"E03","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"E04","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
2,"E05","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
2,"E07","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
2,"E12",NA,"","NA"
2,"E20",NA,"","NA"
2,"F03","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
2,"F15","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
2,"F16","Pinus sylvestris","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
2,"F19","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
2,"F20","Pinus sylvestris","Quercus robur, Pinus sylvestris, Juniperus communis","Mixed"
