"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
53,"D10","No dominant species","Carpinus betulus, Acer pseudoplatanus, Ulmus minor","Deciduous"
53,"D14","No dominant species","Quercus robur, Corylus avellana, Castanea sativa","Deciduous"
53,"E18","No dominant species","Acer pseudoplatanus, Fraxinus excelsior, Corylus avellana","Deciduous"
53,"E19","No dominant species","Carpinus betulus, Sambucus nigra, Corylus avellana","Deciduous"
53,"E20","Castanea sativa","Fagus sylvatica, Sorbus aucuparia, Castanea sativa","Deciduous"
53,"E21","No dominant species","Quercus robur, Acer pseudoplatanus, Corylus avellana","Deciduous"
53,"F23","Castanea sativa","Fagus sylvatica, Betula pubescens, Castanea sativa","Deciduous"
53,"F24","Castanea sativa","Quercus robur, Sorbus aucuparia, Castanea sativa","Deciduous"
53,"A01","No dominant species","Acer pseudoplatanus, Ulmus minor, Corylus avellana","Deciduous"
53,"B05","Corylus avellana","Fraxinus excelsior, Alnus glutinosa, Corylus avellana","Deciduous"
53,"D13","No dominant species","Acer pseudoplatanus, Castanea sativa, Ulmus x hollandica","Deciduous"
53,"D15","No dominant species","Carpinus betulus, Alnus glutinosa, Corylus avellana","Deciduous"
53,"D16","No dominant species","Quercus robur, Fraxinus excelsior, Corylus avellana","Deciduous"
53,"F22","No dominant species","Acer pseudoplatanus, Sambucus nigra, Castanea sativa","Deciduous"
53,"A02","Acer pseudoplatanus","Acer pseudoplatanus, Fraxinus excelsior, Corylus avellana","Deciduous"
53,"A03","No dominant species","Acer pseudoplatanus, Ulmus minor, Corylus avellana","Deciduous"
53,"B06","Alnus glutinosa","Fraxinus excelsior, Alnus glutinosa, Corylus avellana","Deciduous"
53,"C08","No dominant species","Fraxinus excelsior, Alnus glutinosa, Corylus avellana","Deciduous"
53,"C09","Corylus avellana","Quercus robur, Fraxinus excelsior, Corylus avellana","Deciduous"
53,"D11","Ulmus minor","Quercus robur, Ulmus minor, Corylus avellana","Deciduous"
53,"D12","Ulmus minor","Ulmus minor, Fraxinus excelsior, Castanea sativa","Deciduous"
53,"B04","Ulmus minor","Acer pseudoplatanus, Ulmus minor, Fraxinus excelsior","Deciduous"
53,"C07","No dominant species","Acer pseudoplatanus, Ulmus minor, Corylus avellana","Deciduous"
53,"F25","No dominant species","Acer pseudoplatanus, Alnus glutinosa, Corylus avellana","Deciduous"
