"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
56,"M10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"P10","No dominant species","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"Q10","No dominant species","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"R10","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
56,"S10","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
56,"S14","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"O08",NA,"","NA"
56,"O09","No dominant species","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"O11","No dominant species","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"T10","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
56,"U11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"U12","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"U13","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"U14","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
56,"U15","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"U16","No dominant species","Quercus robur, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
56,"U17","No dominant species","Quercus robur, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
56,"U18","Betula pendula","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"U19","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"V14","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"G10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"H10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"O12","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"O13","Quercus robur","Quercus robur, Pinus sylvestris","Mixed"
56,"T14","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
56,"I10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"D02",NA,"","NA"
56,"J08","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"J10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"J11","Pinus sylvestris","Betula pendula, Viburnum lantana, Pinus sylvestris","Mixed"
56,"J12",NA,"","NA"
56,"K10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"O14","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"P14","Quercus robur","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"Z10",NA,"","NA"
56,"Z11",NA,"","NA"
56,"N10","Betula pendula","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"Z06",NA,"","NA"
56,"Z05",NA,"","NA"
56,"Z08",NA,"","NA"
56,"R14","Quercus robur","Quercus robur, Betula pendula","Deciduous"
56,"L10","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
56,"Q14","Quercus robur","Quercus robur, Betula pendula","Deciduous"
56,"O10","Betula pendula","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"D04","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
56,"Z12",NA,"","NA"
56,"Z13",NA,"","NA"
56,"D05","Betula pendula","Betula pendula, Pinus sylvestris, Pinus austriaca","Mixed"
56,"D06","Pinus austriaca","Betula pendula, Pinus austriaca","Mixed"
56,"E04","Pinus sylvestris","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
56,"D03",NA,"","NA"
