"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
60,"B11 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"B16 ","Pinus sylvestris","Betula pubescens, Pinus sylvestris, Prunus serotina","Mixed"
60,"B18 ","Prunus serotina","Pinus sylvestris, Prunus serotina","Mixed"
60,"C07 ","Prunus serotina","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
60,"C09 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"C14 ","No dominant species","Betula pubescens, Pinus sylvestris, Prunus serotina","Mixed"
60,"D05 ","Prunus serotina","Sorbus aucuparia, Pinus sylvestris, Prunus serotina","Mixed"
60,"D13 ","Prunus serotina","Betula pubescens, Pinus sylvestris, Prunus serotina","Mixed"
60,"D17 ","Prunus serotina","Sorbus aucuparia, Pinus sylvestris, Prunus serotina","Mixed"
60,"D27 ","Prunus serotina","Pinus sylvestris, Prunus serotina","Mixed"
60,"E08 ","Pinus sylvestris","Fraxinus excelsior, Pinus sylvestris, Prunus serotina","Mixed"
60,"E10 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"E21 ","Prunus serotina","Frangula alnus, Pinus sylvestris, Prunus serotina","Mixed"
60,"F11 ","Prunus serotina","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
60,"F19 ","Pinus sylvestris","Picea abies, Pinus sylvestris, Prunus serotina","Mixed"
60,"F26 ","Pinus sylvestris","Pinus sylvestris, Quercus rubra, Prunus serotina","Mixed"
60,"G14 ","Pinus sylvestris","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"H03 ","No dominant species","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
60,"H05 ","Prunus serotina","Pinus sylvestris, Prunus serotina","Mixed"
60,"H10 ",NA,"","NA"
60,"H25 ","Pinus sylvestris","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"I03 ","Prunus serotina","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"I07 ","No dominant species","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"I10 ",NA,"","NA"
60,"J07 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"K06 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"K08 ",NA,"","NA"
60,"L08 ",NA,"","NA"
60,"C21 ","Prunus serotina","Betula pubescens, Pinus sylvestris, Prunus serotina","Mixed"
60,"E16 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"F21 ","Pinus sylvestris","Pinus sylvestris, Abies nordmanniana, Prunus serotina","Mixed"
60,"H19 ","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
60,"D25 ","Pinus sylvestris","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"F09 ","Pinus sylvestris","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
60,"F17 ","No dominant species","Betula pendula, Pinus sylvestris, Prunus serotina","Mixed"
60,"H15 ",NA,"","NA"
60,"E19 ","Prunus serotina","Sorbus aucuparia, Pinus sylvestris, Prunus serotina","Mixed"
60,"G04 ","Prunus serotina","Viburnum opulus, Pinus sylvestris, Prunus serotina","Mixed"
60,"J05 ","Prunus serotina","Quercus robur, Pinus sylvestris, Prunus serotina","Mixed"
60,"F11",NA,"","NA"
