"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
30,"C02",NA,"","NA"
30,"D03",NA,"","NA"
30,"E02",NA,"","NA"
30,"E04",NA,"","NA"
30,"F03",NA,"","NA"
30,"G02",NA,"","NA"
30,"H03",NA,"","NA"
30,"H05",NA,"","NA"
30,"J02",NA,"","NA"
30,"K05",NA,"","NA"
30,"L02",NA,"","NA"
30,"M05",NA,"","NA"
30,"P05","Salix alba","Salix alba, Cornus mas","Deciduous"
30,"Q05","Salix alba","Salix alba, Sambucus nigra","Deciduous"
30,"G04",NA,"","NA"
30,"J04",NA,"","NA"
30,"K03",NA,"","NA"
30,"L04","Salix","Sambucus nigra, Salix","Deciduous"
30,"M03",NA,"","NA"
30,"N02",NA,"","NA"
30,"N04","Salix","Sambucus nigra, Salix","Deciduous"
30,"Q04",NA,"","NA"
30,"R02",NA,"","NA"
30,"R05",NA,"","NA"
30,"S03",NA,"","NA"
30,"T02",NA,"","NA"
30,"T05",NA,"","NA"
30,"U02",NA,"","NA"
30,"U03",NA,"","NA"
30,"U04","Salix","Betula pendula, Sambucus nigra, Salix","Deciduous"
30,"W02","Salix","Sambucus nigra, Salix","Deciduous"
30,"W04","Salix","Sambucus nigra, Salix","Deciduous"
30,"X03","Salix","Alnus incana, Salix","Deciduous"
