"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
32,"E01","No dominant species","Quercus robur, Fraxinus excelsior, Corylus avellana","Deciduous"
32,"G04","No dominant species","Quercus robur, Corylus avellana, Populus","Deciduous"
32,"H01","No dominant species","Quercus robur, Corylus avellana, Prunus","Deciduous"
32,"G02","No dominant species","Quercus robur, Corylus avellana, Populus","Deciduous"
32,"K03","No dominant species","Quercus robur, Corylus avellana, unknown or not determined","Mixed"
32,"L04","No dominant species","Quercus robur, Fraxinus excelsior, unknown or not determined","Mixed"
32,"L02","No dominant species","Quercus robur, Rhamnus cathartica, unknown or not determined","Mixed"
32,"H03","No dominant species","Quercus robur, Alnus glutinosa, Corylus avellana","Deciduous"
32,"K01","No dominant species","Quercus robur, Corylus avellana, Rhamnus cathartica","Deciduous"
