"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
17,"G04","Betula pubescens","Betula pendula, Betula pubescens, Frangula alnus","Deciduous"
17,"G07","Betula pubescens","Betula pendula, Betula pubescens, Salix cinerea","Deciduous"
17,"H02","Betula pendula","Betula pendula, Betula pubescens","Deciduous"
17,"J03","Betula pendula","Betula pendula, Betula pubescens, Sorbus aucuparia","Deciduous"
17,"J07","Salix cinerea","Betula pubescens, Salix cinerea","Deciduous"
17,"L04","Betula pubescens","Betula pendula, Betula pubescens","Deciduous"
17,"N05","Betula pubescens","Betula pendula, Betula pubescens, Frangula alnus","Deciduous"
17,"N07","No dominant species","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
17,"O05","Betula pubescens","Betula pendula, Betula pubescens, Frangula alnus","Deciduous"
17,"O09","No dominant species","Betula pendula, Betula pubescens, Salix","Deciduous"
17,"P05","Betula pubescens","Quercus robur, Betula pubescens, Salix","Deciduous"
17,"P10","Salix","Betula pendula, Betula pubescens, Salix","Deciduous"
17,"Q08","No dominant species","Betula pendula, Betula pubescens, Sorbus aucuparia","Deciduous"
17,"F05","Salix cinerea","Betula pendula, Betula pubescens, Salix cinerea","Deciduous"
17,"I05","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
17,"I08","Betula pubescens","Betula pubescens, Frangula alnus, Salix cinerea","Deciduous"
17,"K06","Salix cinerea","Betula pendula, Betula pubescens, Salix cinerea","Deciduous"
17,"K08","Salix cinerea","Betula pendula, Betula pubescens, Salix cinerea","Deciduous"
17,"M04","Betula pubescens","Betula pendula, Betula pubescens, Sorbus aucuparia","Deciduous"
17,"M10","Betula pubescens","Betula pubescens, Salix","Deciduous"
