"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
52,"BB20","Quercus petraea","Quercus petraea, Betula pendula, Betula pubescens","Deciduous"
52,"C02","Quercus petraea","Quercus petraea, Betula pendula, Pinus sylvestris","Mixed"
52,"DD21","Quercus petraea","Fagus sylvatica, Quercus petraea, Betula pendula","Deciduous"
52,"FF16","No dominant species","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
52,"FF18","Betula pendula","Betula pendula, Betula pubescens, Frangula alnus","Deciduous"
52,"FF19","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"G02","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"G06","No dominant species","Quercus petraea, Quercus robur, Frangula alnus","Deciduous"
52,"GG17","No dominant species","Quercus petraea, Quercus robur, Betula pubescens","Deciduous"
52,"GG22","Quercus robur","Quercus petraea, Quercus robur, Frangula alnus","Deciduous"
52,"H04","Quercus petraea","Quercus petraea, Quercus robur, Frangula alnus","Deciduous"
52,"H08","No dominant species","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"HH18","No dominant species","Carpinus betulus, Quercus petraea, Quercus robur","Deciduous"
52,"HH20","No dominant species","Quercus petraea, Betula pendula, Frangula alnus","Deciduous"
52,"J02","Quercus robur","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"J06","Quercus petraea","Quercus petraea, Quercus robur, Frangula alnus","Deciduous"
52,"JJ16","No dominant species","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
52,"K01","No dominant species","Quercus petraea, Quercus robur, Pinus sylvestris","Mixed"
52,"K04","Quercus robur","Quercus robur, Betula pendula, Populus tremula","Deciduous"
52,"K08","Quercus petraea","Quercus petraea, Betula pendula, Frangula alnus","Deciduous"
52,"LL14","Quercus petraea","Quercus petraea, Betula pendula, Betula pubescens","Deciduous"
52,"M04","Quercus robur","Quercus petraea, Quercus robur, Amelanchier lamarckii","Deciduous"
52,"M09","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"M13","Quercus robur","Quercus robur, Betula pendula, Amelanchier lamarckii","Deciduous"
52,"MM12","Quercus robur","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"MM16","No dominant species","Quercus petraea, Betula pubescens, Sambucus nigra","Deciduous"
52,"N04","Quercus robur","Quercus robur, Pinus sylvestris, Amelanchier lamarckii","Mixed"
52,"N07","Quercus petraea","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"N12","Quercus robur","Quercus robur, Betula pendula, Amelanchier lamarckii","Deciduous"
52,"NN13","Quercus petraea","Quercus petraea, Betula pendula, Betula pubescens","Deciduous"
52,"NN14","Quercus petraea","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"O06","No dominant species","Quercus petraea, Quercus robur, Frangula alnus","Deciduous"
52,"P06","Quercus petraea","Quercus petraea, Betula pubescens, Frangula alnus","Deciduous"
52,"P12","Quercus robur","Quercus robur, Betula pendula","Deciduous"
52,"R08","Quercus robur","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"RR10","Quercus robur","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"RR13","Quercus petraea","Quercus petraea, Betula pendula","Deciduous"
52,"S09","Populus tremula","Quercus robur, Betula pendula, Populus tremula","Deciduous"
52,"S11",NA,"","NA"
52,"S13","No dominant species","Quercus robur, Betula pendula, Amelanchier lamarckii","Deciduous"
52,"SS11","Betula pendula","Quercus petraea, Quercus robur, Betula pendula","Deciduous"
52,"TT09","Quercus robur","Quercus robur, Betula pendula, Frangula alnus","Deciduous"
52,"TT10","Quercus robur","Quercus robur, Betula pendula","Deciduous"
52,"U09","Betula pendula","Quercus robur, Betula pendula","Deciduous"
52,"D06","Quercus petraea","Quercus petraea, Betula pendula, Betula pubescens","Deciduous"
52,"E05",NA,"","NA"
52,"D03","Quercus petraea","Quercus petraea, Populus tremula, Frangula alnus","Deciduous"
52,"B03","Quercus petraea","Quercus petraea, Frangula alnus, Pinus sylvestris","Mixed"
52,"E08","Quercus petraea","Quercus petraea, Betula pendula, Frangula alnus","Deciduous"
52,"H12","Quercus petraea","Quercus petraea, Quercus robur, Betula pubescens","Deciduous"
52,"L11","Quercus robur","Quercus robur, Betula pubescens","Deciduous"
52,"M06","No dominant species","Quercus petraea, Betula pubescens, Frangula alnus","Deciduous"
52,"G09",NA,"","NA"
52,"P10","Quercus robur","Quercus petraea, Quercus robur, Betula pubescens","Deciduous"
52,"J11","Betula pubescens","Quercus robur, Betula pubescens, Frangula alnus","Deciduous"
