"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
27,"A01","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A02","No dominant species","Alnus glutinosa, Frangula alnus, Salix cinerea","Deciduous"
27,"A03","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A04","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A05","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A06","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A07","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A08","Alnus glutinosa","Alnus glutinosa, unknown or not determined, Salix cinerea","Mixed"
27,"A09","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A10","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A11","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A12","Betula pubescens","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
27,"A13","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A14","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A15","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"A16","No dominant species","Alnus glutinosa, Frangula alnus, Salix cinerea","Deciduous"
27,"B05","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B06","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B07","Salix cinerea","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B08","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B13","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B14","Betula pubescens","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"B15","Betula pubescens","Alnus glutinosa, Betula pubescens, unknown or not determined","Mixed"
27,"C06","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"C07","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"C08","Betula pubescens","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
27,"C09","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Frangula alnus","Deciduous"
27,"C13","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"C14","No dominant species","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
27,"C15","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"D05","No dominant species","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"D06","Betula pubescens","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
27,"D07","Betula pubescens","Alnus glutinosa, Betula pubescens, Sorbus aucuparia","Deciduous"
27,"E12","Alnus glutinosa","Alnus glutinosa, Betula pubescens, Salix cinerea","Deciduous"
27,"E13","Alnus glutinosa","Quercus robur, Alnus glutinosa, Betula pubescens","Deciduous"
