"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
39,"D13","Quercus robur","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
39,"F11","No dominant species","Fagus sylvatica, Quercus robur, Corylus avellana","Deciduous"
39,"F08","No dominant species","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
39,"H10","Betula pendula","Quercus robur, Betula pendula, Picea abies","Mixed"
39,"E10","Betula pendula","Quercus robur, Betula pendula, Betula pubescens","Deciduous"
39,"F15","No dominant species","Quercus robur, Corylus avellana, Picea abies","Mixed"
39,"G16","Alnus","Alnus glutinosa, Picea abies, Alnus","Mixed"
39,"E16","No dominant species","Quercus robur, Fraxinus excelsior, Alnus glutinosa","Deciduous"
39,"D17","No dominant species","Quercus robur, Alnus glutinosa, Sorbus aucuparia","Deciduous"
39,"B17","No dominant species","Quercus robur, Betula pendula, Corylus avellana","Deciduous"
39,"E19","Pinus sylvestris","Quercus robur, Prunus avium, Pinus sylvestris","Mixed"
39,"E12","No dominant species","Quercus robur, Betula pubescens, Sorbus aucuparia","Deciduous"
39,"E13","Quercus rubra","Quercus robur, Alnus glutinosa, Quercus rubra","Deciduous"
39,"N04","No dominant species","Carpinus betulus, Fraxinus excelsior, Corylus avellana","Deciduous"
39,"L03","Corylus avellana","Quercus robur, Prunus avium, Corylus avellana","Deciduous"
39,"N05","No dominant species","Carpinus betulus, Fraxinus excelsior, Corylus avellana","Deciduous"
39,"M03","No dominant species","Quercus robur, Fraxinus excelsior, Corylus avellana","Deciduous"
