"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
5,"A02","No dominant species","Betula pendula, Picea abies, Larix kaempferi","Mixed"
5,"C04","Quercus robur","Carpinus betulus, Quercus robur, Acer pseudoplatanus","Deciduous"
5,"D05","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"E05","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"F07","No dominant species","Fagus sylvatica, Quercus robur, Sorbus aucuparia","Deciduous"
5,"F08","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"G07","No dominant species","Fagus sylvatica, Betula pendula, Sorbus aucuparia","Deciduous"
5,"G11","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"H11","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"J12","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"J14","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"K13","No dominant species","Fagus sylvatica, Betula pendula, Sorbus aucuparia","Deciduous"
5,"L12","Carpinus betulus","Carpinus betulus, Prunus avium, Betula pendula","Deciduous"
5,"N15","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"O16","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"P16","No dominant species","Fagus sylvatica, Betula pendula, Sorbus aucuparia","Deciduous"
5,"R18","No dominant species","Fagus sylvatica, Carpinus betulus, Betula pendula","Deciduous"
5,"S19","Betula pendula","Fagus sylvatica, Betula pendula, Sorbus aucuparia","Deciduous"
5,"B03","Pinus nigra","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
5,"C03","Carpinus betulus","Carpinus betulus, Quercus robur, Acer pseudoplatanus","Deciduous"
5,"D06","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"E06","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"E07","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"E08","Betula pendula","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"F06","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"G08","No dominant species","Fagus sylvatica, Betula pendula, Sorbus aucuparia","Deciduous"
5,"G10","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"H12","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"J10","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"J11","Betula pendula","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"J13","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"K11","Betula pendula","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"K12","No dominant species","Quercus robur, Betula pendula, Sorbus aucuparia","Deciduous"
5,"K14","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"L13","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"L14","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"M12","No dominant species","Carpinus betulus, Betula pendula, Corylus avellana","Deciduous"
5,"M13","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"M14","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"N14","Betula pendula","Carpinus betulus, Betula pendula, Picea abies","Mixed"
5,"Q15","No dominant species","Carpinus betulus, Quercus robur, Betula pendula","Deciduous"
5,"Q16","No dominant species","Fagus sylvatica, Quercus robur, Betula pendula","Deciduous"
5,"S17","Carpinus betulus","Carpinus betulus, Quercus robur, Betula pendula","Deciduous"
5,"S18","Betula pendula","Carpinus betulus, Quercus robur, Betula pendula","Deciduous"
5,"S20","No dominant species","Carpinus betulus, Betula pendula, Sorbus aucuparia","Deciduous"
5,"T19","Betula pendula","Carpinus betulus, Betula pendula, Sorbus aucuparia","Deciduous"
